Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1637256141,10,GET,google,0.800000,0.000000,160,170,170,270,1400,1400,1400,1400,1400,1400,1400,30,0,74,143.39581720075026,42.981669001164846,1385.0322409998626,14919.366666666667
1637256141,10,GET,microsoft,1.000000,0.000000,190,230,260,280,320,320,320,320,320,320,320,36,0,190.0,273.6252921673036,150.04453300207388,775.9084650024306,210561.13888888888
1637256141,10,,Aggregated,2.900000,0.000000,180,190,210,230,280,320,1400,1400,1400,1400,1400,92,0,180.0,204.0379924353107,42.981669001164846,1385.0322409998626,110387.19565217392
1637256142,10,GET,facebook,1.100000,0.000000,170,180,180,200,210,210,210,210,210,210,210,27,0,180.0,177.4148353705877,121.078967997164,234.0982219975558,81839.96296296296
1637256142,10,GET,google,1.000000,0.000000,170,270,350,350,380,1200,1200,1200,1200,1200,1200,33,0,78,190.30754721241078,42.981669001164846,1385.0322409998626,14918.060606060606
1637256142,10,GET,microsoft,1.100000,0.000000,230,260,280,280,340,340,340,340,340,340,340,37,0,210.0,275.3715070817585,150.04453300207388,775.9084650024306,210552.2162162162
1637256142,10,,Aggregated,3.200000,0.000000,180,200,260,270,350,380,1200,1200,1200,1200,1200,97,0,180.0,219.16593170144833,42.981669001164846,1385.0322409998626,108169.14432989691
1637256143,10,GET,facebook,1.100000,0.000000,180,180,200,210,310,310,310,310,310,310,310,28,0,180.0,182.16907228582255,121.078967997164,310.53346899716416,81840.0
1637256143,10,GET,google,1.000000,0.000000,180,270,350,380,1200,1200,1200,1200,1200,1200,1200,34,0,78,190.01246767669835,42.981669001164846,1385.0322409998626,14918.529411764706
1637256143,10,GET,microsoft,1.100000,0.000000,200,230,260,280,340,340,340,340,340,340,340,39,0,200.0,270.90975000054385,150.04453300207388,775.9084650024306,210564.46153846153
